"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8","eeg",
-12.8203,-9.2305,29.231,28.7183,-11.2817,6.6665,-18.9741,36.9233,1.5386,-3.5898,-5.6411,2.0513,-1.5386,8.2051,
0.25659,-2.8206,44.231,41.7947,-8.9744,14.1028,-8.9744,43.3333,5.8972,-1.7947,-9.9998,-0.25659,-5.3845,0.25659,,
-0.25635,-5.3848,44.3589,39.7437,-13.0771,10,-6.4102,43.3335,3.8462,0.25635,-18.7178,5.3848,-2.8203,-13.0771,,
-3.0771,-6.667,37.4355,29.7437,-13.8462,8.7178,-9.231,42.0513,0,-0.51318,-15.3848,7.6919,1.0254,0,,
-7.1794,-11.7947,30.7693,31.7952,-17.9485,7.1794,-15.3845,43.0769,0.51294,-0.51294,-12.3074,3.5901,-1.0256,15,,
-16.1541,-17.1794,24.8718,33.5896,-26.4104,1.7947,-20.2566,44.8718,-1.7947,2.3079,-17.6921,4.3591,-10.0002,3.3333,,
-18.4617,-8.718,32.3079,30.2566,-20.0002,9.2307,-11.7947,53.3333,3.0769,4.1023,-10.2566,8.2053,-9.2307,-3.0769,,
-20.7693,-8.9744,33.5901,25.8977,-13.0769,13.0769,-9.4871,54.1028,4.3591,-3.3333,-5.3845,-0.76929,0.76929,11.9231,,
-21.2822,-9.4873,33.0771,28.9746,-10,12.564,-11.0254,54.6152,2.8203,-5.8975,-5.8975,-2.8203,15.1284,15.1284,,
-21.2822,-6.4102,33.5898,28.4614,-13.5898,11.5386,-13.0771,54.6152,1.7949,-3.3335,-3.3335,1.7949,10,0.12842,,
-17.1797,-5.8975,34.1025,29.4873,-10.5127,14.1025,-11.0259,51.5386,2.3076,0.25635,-2.8203,2.8203,-0.25635,-0.25635,,
-14.3591,-10.7693,36.4104,28.718,-5.6409,16.4104,-7.1794,47.1794,-0.51294,0.51294,-10.2566,0.51294,3.5896,-0.51294,,
-15.8972,-14.8718,37.949,25.6409,-5.6409,13.8464,-6.6667,44.6155,-1.5383,1.5383,-12.8206,1.5383,10.7693,-5.1282,,
-18.4617,-12.3079,36.4104,28.2048,-7.1794,7.1794,-8.2053,45.1282,-1.0256,1.0256,-12.3079,4.1023,12.3074,-1.0256,,
-19.2307,-5.8972,32.5642,30.0002,-8.4617,3.8464,-8.4617,44.3591,-1.282,1.282,-17.1794,3.3333,7.949,-3.3333,,
-17.1797,-11.5386,30.5127,27.436,-8.4614,4.8716,-10,42.8203,1.2822,0.25635,-20.769,-0.25635,3.8462,-4.8716,,
-13.0767,-13.5898,35.6411,28.9746,-7.4355,4.3589,-10.5127,45.3848,5.3848,-0.25635,-12.0513,-0.76904,5.8975,0.25635,,
-12.5642,-6.4104,38.718,27.4358,-11.5383,1.282,-10.5129,45.3845,4.3591,-0.25659,-2.3079,0.25659,9.9998,-7.4358,,
-15.8975,-7.6924,35.8975,20.5132,-10.769,1.0259,-9.2305,44.6157,6.1538,0,0,-1.0254,16.4106,-22.4358,,
-16.6665,-13.5898,35.6411,20.2563,-7.9487,1.2822,-9.4873,46.9229,13.5898,0.25635,-0.25635,-6.4102,16.6665,-19.7437,,
-12.564,-6.9229,43.3335,28.4614,-5.3848,4.3589,-7.436,48.9746,16.6665,-0.76904,0.76904,-9.4873,10,-7.436,,
-15.6411,-5.3848,46.4102,26.4102,-2.3076,5.3848,-4.3589,43.8462,14.6152,0.25635,-0.25635,-2.3076,4.3589,-13.0771,,
-23.5896,-14.3586,41.0256,20.5129,-2.5642,-6.6667,-6.1536,31.7952,14.8718,2.5642,-6.1536,4.6155,6.6667,-6.6667,,
-23.3335,-19.7437,35.6411,22.3076,-7.436,-20.769,-9.4873,17.1797,10.5127,-0.25635,-13.0771,0.25635,4.3589,0.76904,,
-13.3335,-13.8462,40,32.8203,-1.5386,-8.7183,-4.1025,20,7.1792,7.1792,-3.5898,9.2305,0,0,,
-15.8975,-15.8975,37.436,31.2817,0,0,-6.1538,21.0254,0,13.8462,-5.1284,15.8975,-8.7183,0,,
-9.7437,-13.8462,37.9487,35.3843,2.0513,-2.5645,-7.1797,16.9229,-2.0513,16.4102,-17.9487,16.9229,-8.7183,15,,
-4.3591,-14.6155,34.6155,40.2566,2.3079,-4.3591,-8.4617,7.4358,-11.0256,7.9485,-24.3591,13.5896,-2.3079,20.7693,,
-11.0259,-16.1538,34.6152,36.6665,4.3589,0.76904,-7.9487,-1.2822,-11.0259,1.2822,-20.2563,8.9741,4.3589,5.7693,,
-19.2307,-12.0515,32.051,29.4871,4.8718,-0.76929,-9.4871,-9.4871,0.76929,2.3079,-15.6409,1.7947,2.8206,-9.2307,,
-22.8203,-7.9487,30.5132,30,10.5132,-2.8203,-8.9741,-12.564,12.5645,8.9746,-5.3843,2.3076,3.3335,-2.3076,,
-34.8716,-18.4614,28.7183,20.5132,9.231,-4.6152,-12.8203,-21.5383,10.2568,5.6411,-2.0513,2.0513,2.5645,-4.1025,,
-39.4873,-23.0769,26.1538,9.231,6.1538,0.5127,-13.8462,-31.7949,10.2563,0.5127,-0.5127,-1.0259,0.5127,-13.3335,,
-32.564,-21.282,24.3589,11.0259,6.4102,2.8203,-12.0513,-33.0769,11.5386,0.25635,0.76904,-6.4102,-0.25635,-13.5898,,
-23.0769,-17.436,31.7947,24.6155,8.2053,-1.0256,-3.5896,-29.7437,9.7434,4.6155,-2.5642,-1.5383,5.6409,1.0256,,
-19.7434,-17.6921,30.0002,20.7693,1.282,-7.9485,0.76929,-39.2307,5.3845,2.3079,-7.4358,3.8464,-0.76929,-12.051,,
-10,-17.6924,30.5127,15.6411,1.7949,-2.8203,1.2822,-40.2563,5.3848,2.3076,-1.2822,1.7949,-6.4102,-21.7949,,
-1.0256,-16.9231,36.4104,25.1282,2.0515,6.1541,-3.5896,-31.7949,1.0256,0.51294,-3.0769,-0.51294,-1.0256,-6.7949,,
0.51294,-13.3333,38.9744,34.3591,-1.0256,13.3333,-0.51294,-25.6409,-0.51294,-0.51294,-14.8718,8.718,2.5642,8.2051,,
-0.25635,-13.5898,36.6665,30.5127,-3.8462,11.0254,0.25635,-27.436,2.8203,2.8203,-19.7437,12.0513,-1.7949,-5.8975,,
2.3076,-16.1538,37.6924,31.0254,-2.3076,2.3076,-3.8462,-31.5386,3.3335,5.8975,-14.1025,3.8462,-3.3335,-8.9746,,
0,-19.4873,40.5127,31.7949,-1.0254,3.5898,-1.0254,-31.7949,0,2.0513,-12.3076,2.0513,0,5.1284,,
-2.564,-15.8975,38.4614,28.2051,-3.0767,13.3335,0,-22.564,-2.0513,0,-12.8203,8.2051,3.5898,4.1025,,
1.282,-8.4617,37.1794,36.6667,-2.8206,16.6667,-4.3591,-14.6155,-1.282,2.3079,-6.9231,8.9744,0.76929,-0.76929,,
3.5896,-5.6409,38.4617,45.1282,-0.51294,13.8459,-3.0769,-15.8977,0.51294,1.0256,-1.0256,1.0256,-2.0515,-6.1541,,
-0.51294,-8.718,35.3845,35.8977,-3.0769,11.7947,1.5383,-15.3845,3.0769,-3.5896,0.51294,-6.6667,1.5383,-14.8718,,
-8.4614,-10.5127,33.5898,31.5386,-1.2822,12.0513,3.8462,-11.5386,6.9229,-3.3335,1.2822,-7.9487,5.8975,-8.9746,,
-13.8459,-11.7947,32.3079,36.4104,1.0256,9.2307,-1.0256,-10.2566,7.1794,-4.1028,2.5642,-9.7434,7.6921,-11.7947,,
-7.9487,-7.436,35.1279,36.6665,0.25635,14.6152,-2.3076,-6.9233,9.4873,-0.25635,2.8203,-7.9487,12.0513,-24.8718,,
-7.436,-4.8716,32.564,31.0259,0.25635,22.3076,-0.25635,-7.9487,7.9487,4.3589,-2.8203,-0.25635,8.4614,-15.6411,,
-15.8975,-12.8208,29.2305,29.2305,-2.564,14.8716,0.5127,-9.7437,2.0513,2.0513,-10.2563,2.0513,-0.5127,-2.0513,,
-11.5383,-17.6921,34.6155,31.5383,-6.4104,6.9231,1.7947,-2.8206,0.25659,0.76929,-12.5642,0.25659,-0.25659,-4.8718,,
-1.2822,-11.0259,35.1279,33.5894,-6.4106,13.5894,-0.25635,2.3076,1.2817,-0.25635,-8.9746,0.25635,5.8975,-6.4106,,
-0.5127,-8.7178,31.2822,31.7949,-5.1279,16.9233,-1.0254,0.51269,-1.5386,-1.0254,-5.6411,3.0771,6.1538,5.1284,,
-1.7947,-13.0769,32.0515,31.0256,-4.3591,4.8718,-0.76929,-3.3333,0.76929,2.8206,-2.8206,2.8206,-1.282,1.282,,
-0.51294,-15.8972,33.3333,31.282,-6.6667,3.5896,0.51294,-6.1541,0.51294,5.1282,-1.0256,1.5383,-3.5896,-13.718,,
0.51294,-14.3591,35.3845,31.7947,-5.6414,9.7434,4.6155,-3.5896,-3.0769,4.1023,-0.51294,-1.0256,11.4104,-12.3079,,
-3.8462,-13.0771,36.6665,31.5381,-0.76953,8.4614,4.8716,1.7949,-0.25635,0.25635,-4.8721,-5.3848,23.333,-11.0259,,
-8.2051,-14.3589,34.8716,30.769,0.5127,9.7437,0.5127,2.0513,-0.5127,-3.5898,-9.231,-8.7178,8.333,-21.5386,,
-0.76929,-8.4617,43.3333,38.2048,5.8972,17.6921,8.4612,6.4099,0.76929,-0.76929,-5.385,-5.8977,-0.76929,-6.5386,,
-4.8718,-11.5383,36.6667,33.5896,-4.8718,7.4358,2.8206,4.8718,-3.8459,-2.8206,-12.051,-7.9485,2.8206,3.8464,,
-6.9233,-8.4614,33.5898,36.6665,-6.9233,4.8716,-4.3589,5.8975,-0.76904,2.8203,-11.0259,-2.3076,7.436,0.76904,,
-8.718,-6.1541,34.3591,38.9744,-2.0515,8.718,-6.1541,1.5383,3.5896,2.0515,-5.6409,-1.5383,6.6667,-10.2566,,
-17.436,-6.1538,30.2563,31.7949,0,6.1538,-6.1538,-6.1538,10.2563,0,1.5386,-5.6411,10.2563,-20.5129,,
-23.5898,-8.2051,27.1797,27.6924,-2.0513,2.0513,-5.6411,-11.7949,12.8203,3.5898,7.1797,-5.1284,7.1797,-24.1025,,
-15.8972,-11.282,29.2307,34.3591,-8.2053,2.5642,-7.1794,-10.7693,7.1794,5.1282,7.6921,-1.5383,1.5383,-14.8718,,
-12.8203,-15.8975,29.7437,33.8462,-10.769,0,-10.2563,-10.2563,2.0513,0.51318,2.5645,0,3.5898,-8.7178,,
-10.0002,-13.0769,30.5125,31.5383,-5.8977,0.76929,-4.8718,-10.0002,1.282,-0.76929,2.3074,0.76929,4.8718,-11.0256,,
-1.7947,-7.949,31.5383,34.6155,-3.3333,6.9231,0.25659,-8.4617,-0.25659,0.25659,2.8206,-1.7947,1.7947,-12.5642,,
-0.76929,-11.5383,34.6155,34.1028,-7.9485,13.0769,-2.8206,-4.3591,-0.25659,-0.76929,0.25659,3.8459,1.282,1.7947,,
-4.8716,-13.5898,34.6152,29.4873,-11.0259,14.1025,-4.3589,-0.76904,0.25635,-0.25635,-0.25635,11.0259,3.3335,16.7947,,
-4.8718,-5.8977,34.1023,29.9998,-5.3845,10.5125,1.282,-1.7952,-1.7952,-1.7952,-1.282,3.3333,10.5125,5.3845,,
0.25635,-2.3076,39.2305,34.6152,-5.8975,12.0513,3.333,-2.3076,-0.25635,-2.3076,1.7949,-4.3589,13.0767,-7.436,,
