"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
58.7981,97.9965,67.6175,155.8144,-97.0172,-85.2572,-40.1786,-5.8798,76.4369,-13.7194,62.7179,-128.3759,-32.3389,5.8798,
47.431,81.3374,49.4604,132.3655,-77.0962,-90.9211,-45.6071,-10.427,57.7507,-7.0165,44.8548,-106.5734,-43.1383,7.4869,
30.4851,62.3571,32.3928,110.3236,-77.7505,-96.2457,-50.7113,-12.7415,40.1856,0.26443,28.0636,-100.5591,-54.65,0.17773,
23.1559,44.5157,19.4504,89.6042,-67.2053,-85.5709,-42.7681,-17.8563,31.6761,14.3486,24.2003,-98.4454,-45.1107,-13.9329,
27.1569,31.3362,16.8138,70.1279,-49.073,-84.8463,-28.9324,-25.1145,21.446,15.5569,19.3192,-82.2487,-51.7133,-15.1662,
26.9966,27.0063,16.2953,51.8202,-32.0286,-79.2657,-13.9668,-18.2177,17.7095,1.3939,4.0601,-63.2138,-62.7105,-1.0266,
26.3575,16.5655,9.4373,34.611,-16.0069,-60.4097,-12.1491,-12.2251,10.7667,0.33052,-10.2835,-45.321,-44.8479,3.9345,
15.9561,7.7324,-5.2289,18.4344,-0.94646,-46.3859,-6.5201,-12.4718,-3.9793,5.2107,-10.3759,-31.1134,-28.057,0.75881,
21.8578,7.2675,-13.355,3.2283,13.2103,-33.8036,7.9711,1.0158,-15.1195,1.958,-12.6935,-15.1466,-13.5246,2.6727,
34.6463,18.1016,-2.2633,-11.0654,26.5177,-17.6754,18.3819,10.2655,-20.582,-3.5494,-18.3015,-0.13784,-7.3232,-2.8766,
39.0474,24.3658,4.2421,-24.5015,39.0266,-16.0153,21.6882,10.139,-31.5969,10.7636,-22.5933,13.9704,-8.3539,-5.1538,
22.6046,13.1033,-4.8323,-37.1314,49.701,-23.8742,26.2667,4.6306,-31.661,15.1271,-30.0576,24.7298,-17.6522,2.0149,
7.1483,5.9475,-10.9119,-49.0035,54.0692,-10.1919,17.3414,4.8431,-21.4313,5.8894,-28.7435,19.8165,-24.9231,8.2637,
0.62009,-2.7394,-12.707,-60.1633,59.1541,4.5196,20.7101,7.982,-25.5354,16.8053,-32.4088,24.9971,-9.3277,2.3779,
7.4433,-3.5543,-18.8041,-70.6535,69.7049,5.3379,33.5675,10.4428,-38.1032,13.837,-44.1837,34.2776,5.3319,-1.685,
