"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
65.8942,22.3186,-29.7584,2.1251,86.0866,-32.9471,-14.8797,-9.566,-21.256,1.0625,0,12.7536,-117.9717,0,
80.8942,32.9471,-31.8845,-10.6285,101.0866,-17.9471,-9.565,-1.0625,-8.5024,10.6285,15,27.7536,-102.9717,1.0625,
70.6766,29.2271,-46.232,-25.6285,101.4976,-2.9471,-15.411,2.6564,-10.0972,16.4735,0.53127,42.7536,-105.7498,-13.9375,
57.3912,20.193,-61.232,-40.6285,113.7205,10.628,-26.5703,-3.1881,-22.3191,6.3768,3.1881,51.0149,-106.2806,-15.9418,
60.5804,29.7584,-75.4591,-55.2656,128.7205,22.3186,-27.6333,-13.8162,-28.6959,-1.0625,18.1881,66.0149,-91.2806,-0.94176,
52.0775,32.9476,-73.3335,-60.5799,114.783,10.628,-25.5067,-18.0679,-37.1978,-5.3143,8.5029,57.3923,-76.2806,5.3143,
53.1405,32.9471,-58.3335,-45.5799,99.783,6.3773,-10.5067,-3.0679,-22.3186,6.3773,-6.4971,42.3923,-76.5217,0,
53.6718,28.1646,-43.3335,-30.5799,84.783,-8.6227,1.5938,-2.6574,-7.9711,0.53127,-7.9711,27.3923,-91.5217,-15,
60.5804,29.7584,-28.3335,-15.5799,69.783,-23.6227,16.5938,-1.0625,-3.1887,-7.4399,1.0625,12.3923,-106.5217,-21.256,
75.5804,38.7926,-13.3335,-0.5799,54.783,-38.6227,31.5938,13.9375,-1.5943,1.5943,-9.0342,-2.6077,-107.8754,-18.5991,
64.8311,23.7926,1.6665,14.4201,39.783,-53.6227,44.6376,28.9375,-3.1881,3.1881,-24.0342,-17.6077,-113.7205,-33.5991,
56.3287,8.7926,16.6665,29.4201,24.783,-68.6227,32.9466,35.0727,-2.1256,2.1256,-32.9476,-32.6077,-128.7205,-24.4452,
68.551,14.3479,31.6665,44.4201,9.783,-81.3046,24.9765,20.0727,1.5943,1.5943,-17.9476,-45.1689,-113.7205,-11.1593,
65.3629,24.9759,22.8498,46.232,19.6622,-66.3046,9.9765,5.0727,0.53127,-0.53127,-2.9476,-30.1689,-98.7205,-26.1593,
60.5804,27.6333,10.6285,38.2608,15.9423,-51.3046,4.2512,-6.3763,-10.6275,5.3138,-4.2512,-29.7584,-83.7205,-24.4447,
57.3923,14.8792,2.1256,31.885,21.2565,-47.8263,14.8792,-11.6906,-4.2507,13.8167,-2.1256,-37.1978,-68.7205,-17.0043,
48.3581,6.9086,-12.8744,16.885,36.2565,-36.667,-0.12079,-23.9134,3.7199,7.9711,-6.9086,-27.101,-53.7205,-32.0043,
60.5809,21.9086,-27.8744,1.885,51.2565,-21.667,-15.1208,-17.0043,-11.2801,2.1256,4.2517,-12.101,-38.7205,-23.3816,
61.1117,26.0385,-42.8744,-13.115,66.2565,-6.667,-30.1208,-21.7873,-26.2801,-9.0337,16.4735,2.899,-23.7205,-8.3816,
54.2031,15.9423,-57.8744,-28.115,81.2565,7.4399,-37.1983,-29.7584,-32.9471,-10.6285,18.0674,17.899,-8.7205,-7.4399,
48.3571,14.3474,-72.8744,-43.115,96.2565,9.0337,-37.7296,-29.2272,-29.2272,-9.0347,7.9711,30.2897,6.2795,-7.9711,
41.9808,9.0337,-68.5505,-58.115,89.8076,6.9086,-22.8498,-21.7873,-34.5409,-5.845,5.845,37.7296,21.2795,-14.3474,
45.7002,12.7531,-53.5505,-49.9524,89.2758,-1.0631,-13.8167,-10.628,-28.6964,1.0631,17.0043,28.6954,36.2795,-22.3191,
49.9524,19.1304,-38.5505,-34.9524,74.2758,-16.0631,1.1833,-8.5019,-13.6964,5.3143,12.7541,13.6954,29.7589,-21.2565,
52.0775,15.9418,-23.5505,-19.9524,59.2758,-31.0631,16.1833,-8.5029,-1.0631,9.5655,-2.2459,-1.3046,14.7589,-32.9466,
64.8311,12.7531,-8.5505,-4.9524,44.2758,-46.0631,31.1833,-1.0631,1.0631,21.2555,-6.3768,-16.3046,-0.24107,-36.1352,
68.5505,13.2849,6.4495,10.0476,29.2758,-61.0631,46.1833,-0.53127,0.53127,19.6612,-9.0347,-31.3046,-15.2411,-21.1352,
66.9572,20.194,21.4495,25.0476,14.2758,-63.7686,49.9524,-5.3143,2.1256,4.6612,-15.9418,-46.3046,-30.2411,-6.1352,
71.2089,21.256,36.4495,40.0476,-0.72422,-52.077,43.5756,-4.2512,4.2512,8.5024,-20.1935,-55.2656,-41.4495,-21.1352,
69.6141,14.3474,51.4495,55.0476,-2.6574,-54.7344,38.7921,-0.53127,0.53127,19.6612,-16.4735,-50.4832,-26.4495,-23.9134,
56.861,7.9716,41.9813,40.0476,-1.5943,-52.6088,23.7921,-7.9706,-9.0332,7.9716,-7.9706,-37.7291,-11.4495,-11.1593,
49.9519,10.6275,26.9813,25.0476,12.7536,-37.6088,8.7921,-13.8172,-9.566,-4.2512,-12.7546,-22.7291,3.5505,-26.1593,
63.7686,25.5077,11.9813,15.9418,27.7536,-22.6088,-6.2079,-9.5655,-11.6906,-2.1256,-15.9418,-7.7291,18.5505,-41.1593,
65.8937,26.5703,5.3143,0.94176,42.7536,-7.6088,-6.3768,-5.3143,-18.0679,1.0631,-1.0631,2.1256,33.5505,-26.5703,
63.7681,22.3186,-9.565,-14.0582,57.7536,-1.0625,1.0625,-1.0625,-20.1935,-3.1887,8.5024,7.4399,48.5505,-11.5703,
63.7681,22.3186,-24.565,-29.0582,72.7536,13.9375,-13.9375,-7.4399,-28.6959,-8.5024,7.4399,22.4399,63.5505,-17.0048,
66.4259,23.9129,-39.565,-44.0582,87.7536,28.9375,-24.9754,-15.4105,-37.7291,-13.2854,13.2854,37.4399,78.5505,-32.0048,
