"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-1.768,7.9578,12.3795,19.4533,-45.0955,-0.88401,0.88401,13.2635,9.7266,-7.9578,-9.7266,-4.4209,-20.3373,29.1799,
-0.33634,8.8067,23.573,22.2645,-43.7162,-7.4631,0.38938,13.7941,6.9326,-5.2699,-8.7006,-14.3247,-33.217,30.5236,
-2.9686,5.6259,34.5385,24.466,-47.2825,-14.9727,3.0185,11.1981,8.2851,-2.3012,-12.5999,-27.5652,-45.324,21.6188,
-3.6749,2.6359,30.6978,22.1136,-49.7509,-17.6117,3.7218,6.9889,4.2507,-6.5845,-18.0332,-19.7691,-37.8363,13.2475,
0.082449,-1.0592,20.8973,19.0179,-52.0716,-13.9021,6.1505,9.2224,4.8796,-0.88365,-14.2992,-4.4829,-32.0297,15.1047,
-1.2485,-2.3225,13.8957,18.3188,-47.6209,-11.7419,6.2235,8.2271,8.5657,2.2642,-19.1882,-16.1039,-44.2079,17.2933,
-1.1732,4.8911,10.4104,22.5259,-33.2685,-1.3104,-1.2233,11.2707,8.9371,1.244,-18.9213,-11.6004,-37.6236,18.025,
-5.5245,-4.245,0.94311,22.0583,-45.3724,-3.0006,1.503,14.1305,13.7058,6.4742,-7.1754,-5.5986,-27.4085,26.6693,
-2.5406,-6.6428,-7.0717,26.9242,-56.7501,-2.821,5.8333,21.2409,20.8416,20.1858,2.9814,4.4635,-25.7639,31.2584,
-1.9457,-1.3809,-9.7427,27.5192,-39.2451,-5.7462,-1.148,20.4089,11.1909,15.0433,2.3609,9.943,-23.7761,15.2829,
-2.7134,-4.8353,-1.1991,23.2156,-22.7904,-13.3596,1.5733,13.879,6.0981,1.7616,3.1037,-4.7536,-18.8122,9.4555,
0.10225,0.76053,7.7147,19.1706,-12.1383,-5.4834,5.9006,8.6254,4.8482,-2.765,4.6855,-8.9363,-3.5835,18.6148,
-0.34631,3.8094,6.8093,13.1562,-4.7787,0.59206,-1.9696,10.3175,-0.30597,-1.2727,-3.9959,0.88321,-16.1425,5.5609,
2.3273,0.043911,-7.6992,2.6402,-7.1448,-3.8644,-13.3469,12.3513,-6.4774,-1.1963,-17.8561,-4.4747,-29.2739,-6.2683,
5.283,0.4837,-11.2633,4.6931,-10.6946,-4.9581,-2.377,11.1686,3.1963,2.8548,-8.4321,-9.9535,-13.4175,8.2078,
-3.8762,-3.9666,-0.86124,11.4848,-11.8218,-11.7348,4.8398,3.4243,10.0779,1.7991,0.032052,-13.7776,-11.286,18.8164,
1.6617,-3.7291,0.95887,9.9113,2.9875,-5.7254,-1.6408,4.9873,0.63101,1.6907,-6.16,1.149,-7.956,6.1923,
0.23557,-12.7895,-1.3091,-3.5045,3.2982,-7.5923,-0.21591,0.7096,-6.039,-3.2732,-14.1898,8.6434,-5.2682,-2.5794,
-3.3159,-1.4111,12.8694,8.2009,-10.9997,-8.0212,6.8712,2.4355,8.4233,0.45963,-0.95933,4.5883,-1.4148,6.4175,
-9.7483,-2.6529,9.0499,14.3402,-13.4825,-7.9823,1.5956,4.4998,12.8292,1.7585,3.0767,0.33371,-8.8465,15.3167,
-8.2793,-16.5937,10.275,15.2486,-17.0945,-12.8087,9.4577,8.6507,14.7115,8.7267,-5.9497,-4.9921,-14.505,20.5874,
-1.1508,-13.4347,11.8693,9.4708,-18.2792,-18.6715,7.5642,5.0368,3.661,1.5714,-18.4142,-18.7925,-17.6136,5.2522,
1.1287,1.0765,1.873,4.9232,-7.8987,-9.1519,2.247,6.061,2.9989,-0.73335,-3.2094,-19.481,-2.4568,0.46823,
-5.1284,-6.9463,-7.9656,4.6283,-9.1928,-11.2544,-4.962,4.8129,7.2403,5.5,11.0832,-4.2121,6.1387,9.2823,
-0.39979,-8.2976,-6.6037,3.4657,-9.5252,-18.5377,-10.8532,-2.5496,-0.26791,4.286,-3.6818,10.1406,-8.3296,3.4205,
10.2348,3.6949,-6.2075,2.3738,3.4249,-8.5837,-2.2442,-1.5126,-0.25268,-3.0449,-10.9291,0.78505,-10.531,-2.9745,
10.5048,6.1261,-12.0248,3.9994,4.9883,4.3108,-2.1096,11.8416,3.2994,-9.052,-6.7365,9.5806,4.2008,-0.14399,
7.6636,0.89482,-3.7875,9.5072,-9.411,0.95731,-6.8467,15.11,6.1963,-1.8771,-10.3112,8.5637,-6.1719,6.4964,
7.2042,1.7256,-4.4447,8.9371,-22.9463,0.016282,-9.9724,8.8981,2.288,-0.88006,-11.461,-6.0501,-19.9016,2.5702,
3.2355,13.1171,-6.8305,10.1694,-11.4964,12.3944,-5.8376,16.3224,0.38232,-2.5957,-1.0471,3.992,-5.4915,5.9533,
-7.5693,2.6034,1.5371,13.0961,-24.9066,2.8081,-1.0656,24.1857,6.5491,2.8649,1.6686,5.5205,-5.162,11.785,
-4.9051,-3.2997,7.1927,12.7523,-26.5546,5.7345,-1.4437,24.9446,10.1351,11.9777,3.7794,9.1682,-4.4103,12.4047,
-8.5893,-0.89125,-1.6391,1.819,-21.8665,3.18,-6.2204,9.7428,2.8956,1.0908,1.3421,9.9445,1.6021,4.1443,
-8.5163,2.2567,10.3972,9.2252,-21.8805,-2.7581,0.7842,6.0638,6.7012,-2.954,-3.6017,-4.7522,-1.5889,11.4118,
-1.8156,1.2373,22.152,13.9766,-10.8419,3.5963,0.73715,6.584,7.1823,0.76016,-5.1545,-18.2201,-7.6834,8.9582,
1.8302,-1.4898,27.8966,11.3699,-16.3807,1.6125,0.69292,5.3041,12.9411,6.0195,4.8814,-23.3166,-21.3224,3.1158,
-0.93246,-4.0525,29.7597,14.2246,-29.4978,-9.0949,3.3042,4.9867,15.7024,7.4271,4.5886,-22.8012,-34.143,9.1186,
