"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-97.8159,97.8159,-428.0101,-480.7997,-421.7991,376.2554,753.0292,-117.4827,-350.3785,-284.1321,224.0977,871.0294,1081.1528,158.8861,
-89.5352,89.5352,-443.0101,-495.7997,-406.7991,366.9399,745.7834,-132.4827,-365.3785,-299.1321,209.0977,858.6084,1066.1528,143.8861,
-75.044,85.3944,-458.0101,-510.7997,-391.7991,364.8697,734.3967,-147.4827,-380.3785,-314.1321,194.0977,843.6084,1051.1528,128.8861,
-60.044,100.3944,-473.0101,-525.7997,-376.7991,379.8697,748.371,-162.4827,-395.3785,-329.1321,179.0977,828.6084,1036.1528,113.8861,
-45.044,115.3944,-488.0101,-540.7997,-361.7991,386.0883,763.371,-152.1587,-410.3785,-344.1321,164.0977,813.6084,1021.1528,98.8861,
-30.044,130.3944,-503.0101,-555.7997,-346.7991,377.8082,777.3533,-155.2637,-425.3785,-359.1321,149.0977,798.6084,1006.1528,83.8861,
-15.044,125.7639,-518.0101,-570.7997,-331.7991,362.8082,762.3533,-170.2637,-440.3785,-374.1321,134.0977,783.6084,991.1528,68.8861,
-0.044015,132.4918,-533.0101,-585.7997,-316.7991,347.8082,758.7218,-185.2637,-455.3785,-389.1321,119.0977,768.6084,976.1528,53.8861,
14.956,130.9396,-548.0101,-600.7997,-301.7991,332.8082,758.2044,-200.2637,-470.3785,-404.1321,104.0977,753.6084,961.1528,38.8861,
29.956,139.2203,-563.0101,-615.7997,-286.7991,317.8082,764.4154,-185.2637,-485.3785,-419.1321,89.0977,738.6084,946.1528,23.8861,
44.956,143.3596,-578.0101,-630.7997,-271.7991,302.8082,779.4154,-178.553,-500.3785,-434.1321,74.0977,723.6084,931.1528,8.8861,
52.7901,145.9482,-593.0101,-645.7997,-256.7991,287.8082,794.4154,-193.553,-515.3785,-449.1321,59.0977,708.6084,916.1528,-6.1139,
38.2984,146.983,-608.0101,-660.7997,-241.7991,272.8082,804.266,-178.553,-530.3785,-464.1321,44.0977,693.6084,901.1528,-21.1139,
23.2984,144.9124,-623.0101,-675.7997,-226.7991,257.8082,810.4761,-163.553,-545.3785,-479.1321,29.0977,697.6511,916.0552,-36.1139,
8.2984,148.5358,-638.0101,-690.7997,-211.7991,242.8082,825.4761,-148.553,-560.3785,-494.1321,14.0977,712.6511,931.0552,-51.1139,
-6.7016,153.1935,-653.0101,-705.7997,-196.7991,257.8082,840.4761,-133.553,-575.3785,-509.1321,19.6669,727.6511,937.7922,-66.1139,
-21.7016,167.6852,-668.0101,-720.7997,-181.7991,272.8082,855.4761,-118.553,-590.3785,-524.1321,33.1227,742.6511,952.7922,-51.1139,
-36.7016,152.6852,-683.0101,-735.7997,-166.7991,257.8082,843.0818,-103.553,-605.3785,-539.1321,43.9915,757.6511,937.7922,-43.9915,
-51.7016,137.6852,-698.0101,-750.7997,-151.7991,242.8082,828.0818,-97.298,-620.3785,-554.1321,50.7194,772.6511,922.7922,-50.7194,
-66.7016,122.6852,-713.0101,-765.7997,-136.7991,228.7555,813.582,-98.3333,-635.3785,-569.1321,40.3686,787.6511,918.1263,-40.3686,
-81.7016,107.6852,-728.0101,-780.7997,-121.7991,213.7555,809.4407,-113.3333,-650.3785,-584.1321,40.3686,791.8445,930.5464,-40.3686,
-96.7016,92.6852,-743.0101,-795.7997,-106.7991,198.7555,799.6073,-121.6236,-665.3785,-599.1321,55.3686,787.1863,915.5464,-53.3075,
-111.7016,77.6852,-758.0101,-810.7997,-91.7991,183.7555,797.5376,-110.2374,-680.3785,-614.1321,70.3686,802.1863,900.5464,-42.9561,
-126.7016,62.6852,-760.7925,-825.7997,-76.7991,168.7555,809.4407,-95.2374,-695.3785,-629.1321,74.5261,807.371,892.2485,-27.9561,
-141.7016,47.6852,-745.7925,-840.7997,-61.7991,153.7555,820.31,-80.2374,-680.5723,-644.1321,89.5261,792.371,907.2485,-12.9561,
-156.7016,42.4392,-730.7925,-855.7997,-46.7991,138.7555,818.7572,-65.2374,-665.5723,-659.1321,104.5261,783.5638,910.8805,2.0439,
-171.7016,32.6053,-720.9404,-870.7997,-61.5877,123.7555,814.0995,-50.2374,-650.5723,-674.1321,119.5261,798.5638,896.9062,17.0439,
-186.7016,17.6053,-715.7652,-885.7997,-76.5877,108.7555,810.994,-35.2374,-635.5723,-689.1321,123.6937,813.5638,893.8017,32.0439,
-201.7016,7.2458,-700.7652,-890.1788,-91.5877,99.3681,808.4059,-20.2374,-620.5723,-704.1321,134.5615,828.5638,908.8017,47.0439,
-213.7464,6.7284,-688.8535,-875.1788,-106.5877,84.3681,799.6078,-6.7284,-605.5723,-719.1321,149.5615,843.5638,898.9769,58.4832,
-201.3253,3.6229,-673.8535,-866.889,-121.5877,69.3681,803.7481,-3.6229,-590.5723,-734.1321,164.5615,830.6608,900.0117,60.5528,
-197.185,-0.51742,-658.8535,-852.3974,-136.5877,61.5877,806.8536,0.51742,-575.5723,-749.1321,179.5615,825.4856,915.0117,75.5528,
-207.5359,-2.5876,-643.8535,-837.3974,-151.5877,51.2368,808.9238,2.5876,-560.5723,-740.6077,188.9038,826.52,901.0471,90.5528,
-197.1855,-1.5528,-628.8535,-822.3974,-166.5877,40.8855,812.0283,1.5528,-545.5723,-725.6077,192.0093,811.52,886.0471,84.3595,
-182.1855,5.1757,-613.8535,-809.4412,-181.5877,34.158,804.266,-5.1757,-530.5723,-710.6077,194.5974,805.3009,901.0471,86.9476,
-167.1855,6.7279,-598.8535,-794.4412,-196.5877,31.57,806.8531,-6.7279,-515.5723,-695.6077,209.5974,820.3009,908.2919,101.9476,
-152.1855,6.2105,-583.8535,-780.4588,-211.5877,42.4387,809.4412,-6.2105,-500.5723,-680.6077,220.4743,835.3009,893.2919,116.9476,
-137.1855,7.7633,-568.8535,-785.1161,-226.5877,51.2373,805.8188,-7.7633,-485.5723,-665.6077,225.1325,836.8708,878.2919,122.6589,
-122.1855,7.7633,-554.291,-774.7658,-241.5877,52.2721,804.783,-7.7633,-470.5723,-650.6077,240.1325,851.8708,893.2919,137.6589,
-118.0007,9.316,-543.4227,-759.7658,-256.5877,56.9304,792.8799,-9.316,-455.5723,-635.6077,255.1325,864.3014,908.2919,152.6589,
-103.0007,13.4563,-537.2117,-754.581,-271.5877,71.9304,789.7744,-13.4563,-455.4398,-620.6077,249.4567,849.3014,893.2919,150.0885,
-88.0007,17.0788,-539.8003,-755.0989,-286.5877,86.9304,787.1868,-17.0788,-447.677,-608.1164,238.5884,851.3625,878.2919,149.5706,
-78.6674,15.5265,-524.8003,-750.4411,-301.5877,90.0526,789.7739,-15.5265,-432.677,-593.1164,253.5884,866.3625,863.2919,164.5706,
-64.6932,16.0439,-509.8003,-741.6421,-316.5877,84.36,795.4674,-16.0439,-417.677,-582.2385,266.5359,863.7835,848.2919,163.0275,
-49.6932,23.2893,-511.8522,-741.6425,-331.5877,93.676,780.9763,-23.2893,-412.4841,-581.2032,260.3254,861.7134,863.2919,152.6756,
-34.6932,28.465,-502.5362,-741.643,-346.5877,96.781,773.7309,-28.465,-399.0278,-567.7478,263.4304,864.8184,848.2919,163.0265,
-27.4296,27.4296,-492.1864,-738.538,-361.5877,81.781,768.5552,-37.781,-409.3786,-573.9583,251.0099,849.8184,833.2919,157.8508,
-20.7022,20.7022,-507.1864,-753.538,-369.5275,66.781,753.5552,-52.781,-424.3786,-588.9583,236.0099,834.8184,818.2919,142.8508,
-12.421,12.421,-522.1864,-768.538,-354.5275,51.781,738.5552,-67.781,-439.3786,-603.9583,221.0099,819.8184,803.2919,127.8508,
-3.6229,3.6229,-537.1864,-783.538,-339.5275,36.781,723.5552,-82.781,-454.3786,-618.9583,206.0099,804.8184,788.2919,112.8508,
10.8683,-10.8683,-552.1864,-798.538,-328.6415,21.781,708.5552,-97.781,-469.3786,-633.9583,191.0099,789.8184,773.2919,97.8508,
25.8683,4.1317,-567.1864,-813.538,-313.6415,34.1585,693.5552,-112.781,-484.3786,-648.9583,176.0099,774.8184,758.2919,82.8508,
40.8683,19.1317,-582.1864,-828.538,-298.6415,25.8769,678.5552,-127.781,-499.3786,-663.9583,161.0099,759.8184,743.2919,67.8508,
55.8683,34.1317,-572.4046,-829.1076,-283.6415,19.6669,663.5552,-142.781,-514.3786,-678.9583,146.0099,744.8184,728.2919,52.8508,
70.8683,49.1317,-568.7822,-825.4852,-268.6415,26.3948,648.5552,-157.781,-529.3786,-693.9583,131.0099,729.8184,713.2919,37.8508,
85.8683,49.1666,-565.6772,-832.7305,-253.6415,32.6053,633.5552,-172.781,-544.3786,-708.9583,116.0099,714.8184,698.2919,22.8508,
100.8683,34.1666,-566.1951,-833.2484,-238.6415,35.1929,618.5552,-187.781,-544.4575,-713.1776,101.0099,699.8184,683.2919,7.8508,
