"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
25.622,-5.5258,8.5403,-7.5358,33.6601,-10.5503,-20.5975,-7.5358,5.5258,36.6736,-39.6881,29.641,-7.5358,49.7362,
19.0907,-5.0236,-3.0145,-14.0662,19.0907,-6.0281,-14.0662,-7.0336,10.0481,32.1523,-31.1478,25.1197,3.0145,59.2811,
22.6065,0.50226,-2.5123,-16.5794,4.0907,-0.50226,-4.5213,-5.5268,18.5875,31.6501,-23.612,27.631,12.5594,56.7688,
11.5549,-1.5068,-8.5403,-14.5694,0.50226,-0.50226,-9.5458,-4.5213,16.5784,32.6546,-31.6501,32.6546,5.5258,41.7688,
4.0186,-9.0431,-2.0095,-20.0957,2.0095,-5.024,-4.0195,-10.0476,20.0947,26.1238,-27.1292,18.0857,11.0521,30.1428,
2.0095,-13.0621,-1.005,-21.1002,1.005,-4.0186,-7.0331,-10.0476,12.0576,25.1192,-22.1047,3.0857,11.0521,41.1954,
7.5358,-8.5403,1.5068,-15.5739,1.5068,-6.5313,-1.5068,-1.5068,17.5829,24.6165,-17.5839,-6.5313,16.5784,44.7117,
16.0762,-11.0526,3.0145,-24.1142,6.0281,-13.0626,-3.0145,-3.0145,15.0716,17.0807,-30.1433,-6.029,12.0571,34.1623,
25.6215,-10.5499,2.5118,-20.5979,20.597,-6.5308,-11.5553,-7.5363,4.5208,21.6025,-42.7031,8.971,-2.5118,42.7022,
27.6305,-11.5553,13.5644,-10.5499,20.5979,-9.5453,-6.5308,-12.5599,6.5308,25.6215,-44.7122,12.5599,-9.5453,43.7067,
26.6265,-4.5213,12.5594,-7.5358,23.612,-7.5358,-5.5268,-0.50226,0.50226,31.6501,-47.7262,27.5599,-8.5403,47.7262,
26.626,-2.5118,2.5118,-10.5499,21.6025,-8.5408,-4.5218,-4.5218,2.5118,34.6641,-43.7076,39.6886,-4.5218,45.7167,
23.6115,-10.5499,1.5073,-12.5599,14.5689,-12.5599,-1.5073,-19.5218,7.5353,32.6551,-36.6741,25.6215,-9.5453,41.6977,
