subject,game,valence,arousal,workload_continuous,workload_class,workload_label
(S01),G1,2,2,9.0,1,medium
(S01),G2,7,2,2.3333,1,medium
(S01),G3,2,2,9.0,1,medium
(S01),G4,8,1,1.0,0,low
(S02),G1,1,8,9.0,2,high
(S02),G2,5,2,4.4286,1,medium
(S02),G3,2,2,7.8571,1,medium
(S02),G4,8,2,1.0,0,low
(S03),G1,2,7,9.0,2,high
(S03),G2,8,1,2.1429,1,medium
(S03),G3,9,1,1.0,0,low
(S03),G4,9,1,1.0,0,low
(S04),G1,4,8,9.0,2,high
(S04),G2,7,3,3.0,1,medium
(S04),G3,7,1,3.0,1,medium
(S04),G4,8,1,1.0,0,low
(S05),G1,3,7,9.0,2,high
(S05),G2,8,2,1.0,0,low
(S05),G3,4,1,7.4,1,medium
(S05),G4,7,2,2.6,1,medium
(S06),G1,3,7,6.3333,1,medium
(S06),G2,7,1,1.0,0,low
(S06),G3,1,1,9.0,2,high
(S06),G4,7,1,1.0,0,low
(S07),G1,5,8,9.0,2,high
(S07),G2,6,3,6.3333,1,medium
(S07),G3,6,1,6.3333,1,medium
(S07),G4,8,1,1.0,0,low
(S08),G1,2,1,7.8571,1,medium
(S08),G2,8,3,1.0,0,low
(S08),G3,1,5,9.0,2,high
(S08),G4,8,1,1.0,0,low
(S09),G1,2,1,9.0,2,high
(S09),G2,8,1,1.0,0,low
(S09),G3,6,1,3.6667,1,medium
(S09),G4,8,1,1.0,0,low
(S10),G1,3,8,9.0,1,medium
(S10),G2,3,1,9.0,1,medium
(S10),G3,5,1,5.8,1,medium
(S10),G4,8,1,1.0,0,low
(S11),G1,5,7,5.8,1,medium
(S11),G2,8,1,1.0,0,low
(S11),G3,3,7,9.0,2,high
(S11),G4,8,1,1.0,0,low
(S12),G1,5,9,7.0,1,medium
(S12),G2,8,1,1.0,0,low
(S12),G3,4,1,9.0,2,high
(S12),G4,7,1,3.0,1,medium
(S13),G1,8,4,2.3333,1,medium
(S13),G2,3,6,9.0,2,high
(S13),G3,4,1,7.6667,1,medium
(S13),G4,9,1,1.0,0,low
(S14),G1,2,8,9.0,2,high
(S14),G2,6,3,3.6667,1,medium
(S14),G3,4,1,6.3333,1,medium
(S14),G4,8,1,1.0,0,low
(S15),G1,3,7,9.0,2,high
(S15),G2,8,3,1.0,0,low
(S15),G3,5,1,5.8,1,medium
(S15),G4,7,3,2.6,1,medium
(S16),G1,1,8,9.0,2,high
(S16),G2,5,2,5.0,1,medium
(S16),G3,8,1,2.0,1,medium
(S16),G4,9,1,1.0,0,low
(S17),G1,3,7,9.0,2,high
(S17),G2,9,3,1.0,0,low
(S17),G3,4,1,7.6667,1,medium
(S17),G4,7,1,3.6667,1,medium
(S18),G1,7,2,5.0,1,medium
(S18),G2,5,3,9.0,2,high
(S18),G3,7,2,5.0,1,medium
(S18),G4,9,1,1.0,0,low
(S19),G1,3,6,7.8571,1,medium
(S19),G2,2,7,9.0,2,high
(S19),G3,6,3,4.4286,1,medium
(S19),G4,9,1,1.0,0,low
(S20),G1,1,8,9.0,1,medium
(S20),G2,7,2,2.1429,1,medium
(S20),G3,1,1,9.0,1,medium
(S20),G4,8,1,1.0,0,low
(S21),G1,1,1,9.0,1,medium
(S21),G2,8,2,1.0,0,low
(S21),G3,1,2,9.0,1,medium
(S21),G4,7,1,2.1429,1,medium
(S22),G1,3,9,9.0,2,high
(S22),G2,9,2,1.0,0,low
(S22),G3,7,1,3.6667,1,medium
(S22),G4,8,1,2.3333,1,medium
(S23),G1,2,9,9.0,1,medium
(S23),G2,4,3,6.7143,1,medium
(S23),G3,2,1,9.0,1,medium
(S23),G4,9,1,1.0,0,low
(S24),G1,3,7,9.0,2,high
(S24),G2,6,5,4.2,1,medium
(S24),G3,8,3,1.0,0,low
(S24),G4,8,1,1.0,0,low
(S25),G1,2,9,9.0,2,high
(S25),G2,5,2,5.5714,1,medium
(S25),G3,9,1,1.0,0,low
(S25),G4,9,1,1.0,0,low
(S26),G1,5,8,3.6667,1,medium
(S26),G2,2,2,7.6667,1,medium
(S26),G3,1,1,9.0,2,high
(S26),G4,7,1,1.0,0,low
(S27),G1,3,6,6.7143,1,medium
(S27),G2,8,1,1.0,0,low
(S27),G3,1,1,9.0,2,high
(S27),G4,5,1,4.4286,1,medium
(S28),G1,2,7,9.0,2,high
(S28),G2,9,1,1.0,0,low
(S28),G3,3,1,7.8571,1,medium
(S28),G4,8,1,2.1429,1,medium
