feature,tree_imp,perm_imp,perm_std
delta_F3,0.015207978,0.017930705807022763,0.000577514059471587
beta_T7,0.012289557,0.013654095989260906,0.0008103526571993907
delta_F4,0.009962455,0.009099457880367822,0.00100192584819008
beta_F8,0.019427145,0.006988152083256427,0.0009328340285867182
delta_T8,0.0101711685,0.006487302810231044,0.000831700287810023
gamma_T7,0.009590725,0.0059810679290668075,0.0006086969146356654
delta_P7,0.009595817,0.0054967755842884715,0.0007797447544138927
beta_F4,0.013274462,0.005410867325429447,0.00039610775322222573
entropy_F3,0.010877729,0.005350107698124029,0.0006660785932651265
delta_T7,0.010725897,0.00532498714403219,0.0007579433243948832
delta_FC6,0.0153450845,0.004777732846039629,0.000818913759849943
beta_AF4,0.008600416,0.004743790704422823,0.0005218358227660906
theta_P8,0.0096150255,0.004537323089177791,0.0005151312926593948
gamma_FC6,0.018376403,0.0044221493409307144,0.0009869914410120914
theta_O1,0.013325953,0.003999880109238163,0.000805445326525402
gamma_FC5,0.024555793,0.0037145586974079103,0.0011198742282114598
alpha_P7,0.008992429,0.003256292404864092,0.0006881420687245383
gamma_AF4,0.006356594,0.0031777685184548156,0.00031751894675900537
theta_F4,0.008188901,0.0028737720848540094,0.000619959420283375
delta_P8,0.009740234,0.002659400664116196,0.0007321462009883073
beta_FC5,0.014988311,0.0026591058507674514,0.0009736835169720274
beta_alpha_F7,0.012757162,0.00263259721715855,0.0006213026993668926
beta_T8,0.007088125,0.0026290910441179706,0.0005378170808963982
entropy_T8,0.009340991,0.00261929376479596,0.0005169431884184911
frontal_asymmetry,0.009706448,0.0025696703607715143,0.0006338821068478023
gamma_AF3,0.009930087,0.0024720502906649066,0.0004654936111067938
alpha_F8,0.0066810516,0.0023632589004500826,0.00034011187749374096
alpha_F4,0.018287044,0.002336385259837981,0.0004201016952812133
beta_alpha_T8,0.008243553,0.0023038171590073152,0.0006469987215173705
theta_alpha_P8,0.021794971,0.002282869617673422,0.00038222125437084586
theta_T7,0.008878828,0.0022294452272596855,0.0004092138978320629
gamma_F8,0.020956619,0.002219725160957553,0.0005852907444314509
alpha_T8,0.006373904,0.0021912247824031894,0.00015749602483933244
entropy_F8,0.006959459,0.0021625419003471814,0.00037490994626390473
gamma_F7,0.0055000726,0.0020937100027782598,0.0004133826750188385
theta_alpha_T7,0.007505269,0.0020840250333033715,0.0003444850863372996
alpha_F3,0.00565434,0.002053532909803535,0.00037712284420344085
entropy_F4,0.0110630775,0.001969293505079428,0.0007124473483447125
theta_F7,0.012043965,0.0019691811952322947,0.0005535240572905725
theta_T8,0.00805242,0.001957904584642389,0.000369500735837582
beta_alpha_FC5,0.018359492,0.0019501060696312412,0.0006324272262099725
beta_alpha_P8,0.022485856,0.0018526755223917113,0.00045882669668886026
beta_F3,0.005347961,0.0018394071668563327,0.0003734856057838896
delta_FC5,0.009921667,0.0018354868512544642,0.00029717227112617257
gamma_F3,0.010086068,0.0017895100075795312,0.0008151607430348469
delta_AF3,0.0066244644,0.0017610026096596897,0.0003317876175682107
beta_FC6,0.010655304,0.0017072412897045086,0.0005137471576237003
gamma_O2,0.006482081,0.0016959155435565033,0.0002267285381287282
beta_P8,0.0077217026,0.0016710266285243636,0.0006596860534513697
beta_alpha_O2,0.007530965,0.0016385989150026537,0.00041661887418954763
alpha_O2,0.00981888,0.0015465890727291765,0.0007377078416093114
beta_P7,0.010041338,0.0015315676306735583,0.00033951372286571645
theta_alpha_F3,0.0050842506,0.0014933120889898178,0.0004541226860710623
entropy_AF3,0.0067765317,0.001481881052360101,0.0003858495815020411
entropy_FC6,0.014046546,0.0014262613554029801,0.000510694221344801
delta_F8,0.006345007,0.001414886473696808,0.000357486735287558
gamma_O1,0.0076603647,0.0014034413983361916,0.00041025961817139385
beta_alpha_P7,0.00742392,0.0013575628257775363,0.000686662861814806
theta_alpha_P7,0.00642437,0.0013518262493663169,0.000320399218617259
theta_FC5,0.007787123,0.00134224657037314,0.0003209412045052327
theta_alpha_FC6,0.006114304,0.0013307383207235234,0.0003500780388891332
entropy_P7,0.008433014,0.0013230240380977753,0.0005044056353117133
gamma_P7,0.0074952506,0.0013096925082733413,0.00041070059120266046
theta_alpha_F8,0.0057884767,0.0012121777286484448,0.0004591299449274604
alpha_AF4,0.008519172,0.0011873590072708274,0.00034883579765912926
alpha_FC6,0.0053186473,0.0011777723089121616,0.00025107323911928913
delta_F7,0.009819751,0.0011681505137263182,0.00039910537618110636
beta_O2,0.0060399286,0.0011375109835520703,0.0005453289406421929
theta_P7,0.0057655363,0.0010956299396152058,0.0003210938400639822
theta_F3,0.0062282304,0.0010305569122429192,0.00024477255384970436
entropy_AF4,0.0069086277,0.0010076808002525972,0.00026019347328372025
alpha_P8,0.0063350196,0.000977062328174716,0.0002594145600394882
theta_O2,0.007895232,0.0009425937341493885,0.00032961414597219987
entropy_T7,0.010655628,0.0008909785851795137,0.00037770506453445866
theta_F8,0.007677184,0.0008699397920948315,0.0004400270352228042
alpha_O1,0.006733719,0.0008603601131016326,0.0003631654698792867
parietal_alpha,0.0075995727,0.0008431082676753632,0.0002627991597439562
gamma_T8,0.007969394,0.0008335707048748753,0.0003868722957661532
beta_alpha_T7,0.00517645,0.0007476273491885954,0.00035030695238337295
beta_O1,0.008561638,0.0007265604786420909,0.0002357182380976342
theta_alpha_T8,0.0057297307,0.0006978916353170383,0.00021053993885041404
alpha_FC5,0.0048457813,0.0006826245154707644,0.0002412639686692254
gamma_F4,0.0061438573,0.0006558491459748627,0.00015321014070162017
beta_AF3,0.0068542226,0.0006500704533709655,0.00021118480036620658
theta_alpha_FC5,0.0047241626,0.0006213665132186574,0.0002408247692402645
alpha_T7,0.005076041,0.0006137575210746094,0.00035836051910425297
beta_alpha_FC6,0.0072712405,0.0006137083855164537,0.00031468605514111466
beta_alpha_F8,0.006220444,0.000590818234795265,0.00029166052737064673
beta_alpha_AF4,0.004639938,0.0005621283333738236,0.00021397080222123653
alpha_AF3,0.003947608,0.0005391890470944794,0.00021116165193284573
entropy_FC5,0.0074461903,0.0005277299330029739,0.00024248965068130414
beta_alpha_O1,0.014669248,0.0005200437278389813,0.0003920881731290022
theta_alpha_O2,0.005486857,0.0004932894164394241,0.0003930287386392022
theta_AF4,0.0057540787,0.00045316145902284387,0.00026481045245045767
theta_AF3,0.004488691,0.0004512399077318707,0.00019181745156407609
gamma_P8,0.010547554,0.00044541909893527356,0.0005222366557805557
theta_alpha_F4,0.0093218405,0.00040343978388215353,0.0002661020360911269
alpha_F7,0.007957402,0.0003728072730733945,0.0002569766920624509
beta_alpha_AF3,0.004195602,0.00034030936589720675,0.0002319491376897782
theta_alpha_AF3,0.0044500004,0.000332679315656792,0.00021986716924806213
beta_alpha_F3,0.009144235,0.0003269497586110504,0.000294162457231415
beta_alpha_F4,0.004630527,0.0002944658901657737,9.057184701420373e-05
entropy_F7,0.0050148647,0.000271491507059185,0.00019848625398029727
theta_FC6,0.0064747822,0.00026384039872242584,0.0003335665035848414
engagement_idx,0.0082248375,0.0001911373211097134,0.0002568132292392695
theta_alpha_F7,0.005137198,0.00018163485513645884,0.00010162604387163291
beta_F7,0.006942975,0.0001586885494916368,0.00037798981268905355
theta_alpha_O1,0.0045161573,0.00014911588986391556,0.00014531767447340714
delta_AF4,0.0060934843,0.00010895283562006863,0.0002873185843199568
theta_alpha_AF4,0.0034789003,9.943633091591408e-05,0.00012296687320581464
entropy_P8,0.009580657,6.878978137625502e-05,0.00031056651935665563
entropy_O2,0.0,0.0,0.0
entropy_O1,0.0,0.0,0.0
delta_O2,0.0,0.0,0.0
delta_O1,0.0,0.0,0.0
frontal_theta,0.01330668,-7.083768124527268e-05,0.0002027074705078951
