subject,kappa,auc,rank_acc,n_kappa_folds,n_rank_folds,n_low_games,n_high_games
(S02),,,0.6666666666666666,0,3,3,1
(S03),0.18404570018827948,0.9100300272696633,1.0,2,2,2,2
(S04),,,1.0,0,3,3,1
(S05),0.10093145289527117,0.8271173271173271,1.0,2,2,3,1
(S06),0.314960967996611,0.8972055357969002,,4,0,3,1
(S07),,,1.0,0,3,3,1
(S08),0.2379067724592277,0.7803470919324579,,4,0,2,2
(S10),0.07947334323492812,0.9090384615384615,0.0,3,1,2,2
(S12),0.11569823831041808,0.8885112300099621,1.0,3,1,3,1
(S13),,,0.6666666666666666,0,3,3,1
(S14),0.056699886601288184,0.7556964199821342,1.0,3,1,3,1
(S15),0.5505932021720935,0.8772401433691757,1.0,3,1,3,1
(S19),0.00815443974032648,0.7247360604320779,1.0,2,2,2,2
(S20),0.24778460146717746,0.8993791641429436,,4,0,2,2
(S22),,,1.0,0,3,3,1
(S24),0.23499861226755486,0.9166666666666667,0.0,2,2,2,2
(S25),0.40907610661716737,0.9048501190642948,1.0,2,2,3,1
(S27),,,0.0,0,2,2,1
(S28),0.41241403525432613,0.930332303036157,1.0,3,1,2,2
