subject,fold,acc,kappa,f1_macro,balanced_acc,auc,reliability,n_low,n_high
(S02),1,0.8143939393939394,0.4262269632520903,0.7087470449172577,0.6847732036072067,0.7990270540504163,0.6839673266255546,397,131
(S03),2,0.7593984962406015,-0.03944315545243615,0.4391698237522649,0.4864433811802233,0.47127088055065897,0.9994971189104243,418,114
(S04),3,0.6729323308270677,-0.11897106109324751,0.4130418241306719,0.45363408521303256,0.18998624380500123,0.9952592592592591,399,133
(S05),4,0.6015037593984962,-0.17571511967308817,0.41203211343968305,0.4137394579546385,0.3681732580037665,0.9886402875553113,414,118
(S06),5,0.7264150943396226,0.1687398593834506,0.5740281911856816,0.5714285714285714,0.6490842490842491,0.9917948717948719,390,140
(S07),6,0.6541353383458647,-0.07288629737609331,0.45417642466822794,0.468671679197995,0.44219571485103737,0.998774928774929,399,133
(S08),7,0.6378600823045267,0.10298250765552253,0.5445270399795523,0.547066717791411,0.6189225460122699,0.9555804195804194,326,160
(S10),8,0.6033057851239669,0.1690838534308553,0.5682025165882943,0.5814594641164814,0.5912466614973723,0.9950600343053173,265,219
(S11),9,0.5375939849624061,-0.03452855245683928,0.46999076638965837,0.4793181818181818,0.5204166666666666,0.9728945868945871,400,132
(S12),10,0.8515037593984962,0.6389967359560214,0.8191558483470238,0.8343340464163086,0.8985205026336133,0.9830146864629623,389,143
(S13),11,0.5695488721804511,0.0,0.49275320079108986,0.5,0.5857877777149642,0.9574250063110825,399,133
(S14),12,0.6917293233082706,0.3092659446450061,0.6208652726356225,0.7817982456140351,0.829235918744229,0.8282095875139353,456,76
(S15),13,0.6240601503759399,-0.19736220206612498,0.38894121430704554,0.41653499838190783,0.08050484475833318,0.9974093067426402,401,131
(S16),14,0.7650375939849624,0.3657727081982223,0.6827032726891017,0.6884619164619165,0.7846093366093365,0.6877836796145738,407,125
(S17),15,0.7048872180451128,-0.08422036450490689,0.4530297374642279,0.4635603882099209,0.5426401869158879,0.9884328056804117,428,104
(S19),16,0.6842105263157895,0.30480235217249263,0.6245967741935483,0.6411863893812961,0.7222534480522289,0.9698322641957708,303,229
(S20),17,0.903041825095057,0.7360113365742289,0.8672945925489867,0.8413975058883675,0.9585531961511073,0.9947235756206458,383,143
(S22),18,0.6090225563909775,-0.06250840166689065,0.4650371287128713,0.46470167219728026,0.3970980545253432,0.9542673796791445,423,109
(S23),19,0.7276595744680852,-0.04256204075973935,0.4751535455053043,0.4814074612403101,0.454578488372093,0.9719818262233122,384,86
(S24),20,0.8963855421686747,0.7575506433161692,0.8777580644056417,0.8572032595325954,0.9674046740467405,0.9977522349936143,271,144
(S25),21,0.5451127819548872,-0.15935451336359052,0.41881545684362587,0.41534634519709146,0.5374473784921546,0.985397910731244,402,130
(S26),22,0.8646616541353384,0.7293233082706767,0.8629180027485113,0.8646616541353382,0.9718469105093561,1.0,133,133
(S27),23,0.38847117794486213,-0.38636363636363646,0.3067392047396605,0.30827067669172936,0.4825880490700435,0.9993291404612161,266,133
(S28),24,0.74364896073903,0.41172078677127566,0.6929136876808955,0.6880899127711921,0.8636770297472602,0.9495261675061897,263,170
