subject,fold,mae,rmse,r2,spearman_rho,kendall_tau,ccc,workload_std
(S01),1,0.8706421476940307,1.183627039247005,0.410116645037208,0.7378647873726218,0.5477225575051662,0.6155434290428352,1.541103482246399
(S02),2,2.082322442186264,2.1948802781603716,0.1365942633672581,0.39999999999999997,0.3333333333333334,0.5676962318096076,2.3621275424957275
(S03),3,2.258373109222682,2.6005741330076386,0.19108421867434755,0.316227766016838,0.18257418583505539,0.2631368600862016,2.891462564468384
(S04),4,1.5073169955537824,1.8403427815057316,0.13451052248054818,0.39999999999999997,0.3333333333333334,0.4754235513595646,1.97818922996521
(S05),5,1.460827928224301,1.9695032445541123,0.08309291009745912,-0.19999999999999998,0.0,0.234562180437079,2.056809425354004
(S06),6,1.4670373181166974,1.5586263286909126,0.5722068480892971,0.7999999999999999,0.6666666666666669,0.639276876159036,2.3830058574676514
(S07),7,2.0813694898783583,2.409747995835075,-0.6591101152660461,-0.7999999999999999,-0.6666666666666669,-0.44149665679558325,1.8708287477493286
(S08),8,1.6950789842111051,2.338311468008263,-0.2326111293979587,-0.39999999999999997,-0.3333333333333334,-0.06461906756807782,2.1061501502990723
(S10),9,1.118264665646347,1.778923944140291,0.43647444752267284,0.7999999999999999,0.6666666666666669,0.5863242915711413,2.369739294052124
(S11),10,2.507966917633222,3.120912326572128,-0.5437170808262737,-0.39999999999999997,-0.3333333333333334,-0.017638150452975045,2.511873245239258
(S12),11,2.009832967765776,2.5644780519804047,-0.26859700913172135,-0.39999999999999997,-0.3333333333333334,-0.030205135929019362,2.2768642902374268
(S13),12,2.0800844336357,2.3785023933581337,-0.4599415832800955,0.19999999999999998,0.0,-0.08894713946541953,1.9685019254684448
(S14),13,1.5386858573013031,1.9204135451243183,0.4089359468947753,0.39999999999999997,0.3333333333333334,0.49418733957278804,2.4979138374328613
(S15),14,1.8655437114546918,2.0370564814511343,-0.5330296226706359,-0.6000000000000001,-0.3333333333333334,-0.16821684999642392,1.64523446559906
(S16),15,1.8168375787066142,2.089796275433908,0.48829288855237596,0.316227766016838,0.18257418583505539,0.5516193390046443,2.921414852142334
(S17),16,2.0166734020925463,2.1578312278999547,-0.10613295694890046,0.0,0.0,0.05064422156642702,2.0516998767852783
(S19),17,1.8828680573537344,2.6383744235448847,-0.05699190874445992,-0.19999999999999998,0.0,0.2530449019708609,2.5662596225738525
(S20),18,1.6773810275051253,2.238025834067983,0.4165009242891493,0.7999999999999999,0.6666666666666669,0.491794002458008,2.929847240447998
(S21),19,1.4165649727474294,1.60920407979985,0.03081627305001866,0.21081851067789195,0.18257418583505539,0.1615931614461268,1.634587049484253
(S22),20,3.0513516069390034,3.203081857986151,-0.22510286778463295,0.39999999999999997,0.3333333333333334,-0.0315289684763653,2.893888235092163
(S23),21,2.6307312566229033,3.0557529079289707,-0.508749088715331,-0.6000000000000001,-0.3333333333333334,-0.23105122026515343,2.487766981124878
(S24),22,1.0158998044070802,1.4654135224660851,0.6201687239398266,1.0,1.0,0.7095896961855704,2.3777425289154053
(S25),23,2.9094939011867984,3.293532528607712,-0.01690576678269351,-0.21081851067789195,-0.18257418583505539,0.05309762170208126,3.266040802001953
(S26),24,1.5269977042909264,1.896904434886489,-0.3467121160578357,0.632455532033676,0.5477225575051662,0.34848763322333237,1.634587049484253
(S27),25,2.4759589894277916,2.6827421713705855,-0.9854084298069414,-0.19999999999999998,0.0,-0.16308752059041604,1.9039433002471924
(S28),26,1.8810774467333573,2.244633863461075,0.31053102817242184,0.6000000000000001,0.3333333333333334,0.3630426190234133,2.7032620906829834
